task,test/test_acc_task_0,test/test_acc_task_1,test/test_acc_task_2,test/test_acc_task_3,test/test_acc_task_4,test/test_acc_task_5,test/test_acc_task_6,test/test_acc_task_7,test/test_acc_task_8,test/test_acc_task_9,test/test_acc,experiment
0,0.9833984375,,,,,,,,,,0.9833984375,vcl
1,0.974609375,0.97666015625,,,,,,,,,0.975634765625,vcl
2,0.96923828125,0.96728515625,0.97294921875,,,,,,,,0.96982421875,vcl
3,0.941015625,0.96142578125,0.96728515625,0.972265625,,,,,,,0.960498046875,vcl
4,0.93564453125,0.9484375,0.957421875,0.96689453125,0.9716796875,,,,,,0.956015625,vcl
5,0.91630859375,0.9431640625,0.953125,0.96435546875,0.96533203125,0.97021484375,,,,,0.9520833333333334,vcl
6,0.9119140625,0.93017578125,0.947265625,0.95537109375,0.962109375,0.9640625,0.97109375,,,,0.9488560267857142,vcl
7,0.9099609375,0.92578125,0.941796875,0.95341796875,0.95634765625,0.96015625,0.958984375,0.9689453125,,,0.946923828125,vcl
8,0.9130859375,0.9185546875,0.93359375,0.9501953125,0.95107421875,0.95146484375,0.94873046875,0.96396484375,0.96953125,,0.9444661458333332,vcl
9,0.89423828125,0.9099609375,0.92919921875,0.94150390625,0.94306640625,0.94296875,0.94873046875,0.9591796875,0.9642578125,0.9671875,0.9400292968749999,vcl
0,0.97744140625,,,,,,,,,,0.97744140625,si
1,0.953125,0.97451171875,,,,,,,,,0.963818359375,si
2,0.92568359375,0.93740234375,0.9677734375,,,,,,,,0.9436197916666668,si
3,0.88681640625,0.93193359375,0.93681640625,0.96396484375,,,,,,,0.9298828124999999,si
4,0.852734375,0.890234375,0.90302734375,0.94619140625,0.95791015625,,,,,,0.91001953125,si
5,0.85625,0.8513671875,0.870703125,0.89482421875,0.947265625,0.955078125,,,,,0.8959147135416666,si
6,0.81220703125,0.8193359375,0.850390625,0.88701171875,0.941015625,0.94267578125,0.9525390625,,,,0.8864536830357144,si
7,0.78916015625,0.82236328125,0.82255859375,0.84423828125,0.93046875,0.91572265625,0.94208984375,0.94677734375,,,0.87667236328125,si
8,0.781640625,0.8140625,0.78701171875,0.82333984375,0.924609375,0.89365234375,0.93056640625,0.9341796875,0.93984375,,0.8698784722222221,si
9,0.77900390625,0.790625,0.77109375,0.77607421875,0.92080078125,0.87646484375,0.92158203125,0.9328125,0.9234375,0.93662109375,0.8628515625000001,si
0,0.97744140625,,,,,,,,,,0.97744140625,baseline
1,0.68984375,0.975,,,,,,,,,0.832421875,baseline
2,0.3412109375,0.6376953125,0.97392578125,,,,,,,,0.6509440104166666,baseline
3,0.22197265625,0.47412109375,0.8177734375,0.97529296875,,,,,,,0.6222900390624999,baseline
4,0.20703125,0.35546875,0.44833984375,0.753125,0.97431640625,,,,,,0.54765625,baseline
5,0.2337890625,0.27783203125,0.22998046875,0.3763671875,0.6982421875,0.97236328125,,,,,0.4647623697916667,baseline
6,0.14736328125,0.2279296875,0.1818359375,0.3431640625,0.41552734375,0.79951171875,0.97216796875,,,,0.4410714285714286,baseline
7,0.1177734375,0.216796875,0.16943359375,0.292578125,0.3318359375,0.4650390625,0.7880859375,0.96796875,,,0.41868896484374996,baseline
8,0.12919921875,0.17646484375,0.10703125,0.22822265625,0.2724609375,0.271875,0.2130859375,0.61845703125,0.9671875,,0.33155381944444445,baseline
9,0.07275390625,0.17509765625,0.10341796875,0.15,0.1708984375,0.22822265625,0.2294921875,0.45146484375,0.80400390625,0.97001953125,0.335537109375,baseline
