task,test/test_acc_task_0,test/test_acc_task_1,test/test_acc_task_2,test/test_acc_task_3,test/test_acc_task_4,test/test_acc_task_5,test/test_acc_task_6,test/test_acc_task_7,test/test_acc_task_8,test/test_acc_task_9,test/test_acc,experiment
0,0.9833984375,,,,,,,,,,0.9833984375,vcl
1,0.974609375,0.97666015625,,,,,,,,,0.975634765625,vcl
2,0.96923828125,0.96728515625,0.97294921875,,,,,,,,0.96982421875,vcl
3,0.941015625,0.96142578125,0.96728515625,0.972265625,,,,,,,0.960498046875,vcl
4,0.93564453125,0.9484375,0.957421875,0.96689453125,0.9716796875,,,,,,0.956015625,vcl
5,0.91630859375,0.9431640625,0.953125,0.96435546875,0.96533203125,0.97021484375,,,,,0.9520833333333334,vcl
6,0.9119140625,0.93017578125,0.947265625,0.95537109375,0.962109375,0.9640625,0.97109375,,,,0.9488560267857142,vcl
7,0.9099609375,0.92578125,0.941796875,0.95341796875,0.95634765625,0.96015625,0.958984375,0.9689453125,,,0.946923828125,vcl
8,0.9130859375,0.9185546875,0.93359375,0.9501953125,0.95107421875,0.95146484375,0.94873046875,0.96396484375,0.96953125,,0.9444661458333332,vcl
9,0.89423828125,0.9099609375,0.92919921875,0.94150390625,0.94306640625,0.94296875,0.94873046875,0.9591796875,0.9642578125,0.9671875,0.9400292968749999,vcl
0,0.978515625,,,,,,,,,,0.978515625,vcl + coreset (25k)
1,0.98056640625,0.9736328125,,,,,,,,,0.977099609375,vcl + coreset (25k)
2,0.97705078125,0.97177734375,0.97099609375,,,,,,,,0.9732747395833332,vcl + coreset (25k)
3,0.97626953125,0.97197265625,0.969140625,0.9712890625,,,,,,,0.97216796875,vcl + coreset (25k)
4,0.97490234375,0.9681640625,0.9681640625,0.96767578125,0.96767578125,,,,,,0.9693164062499999,vcl + coreset (25k)
5,0.975390625,0.96748046875,0.9662109375,0.96806640625,0.96708984375,0.96796875,,,,,0.9687011718749999,vcl + coreset (25k)
6,0.9732421875,0.96591796875,0.965625,0.965234375,0.96533203125,0.9626953125,0.96796875,,,,0.9665736607142856,vcl + coreset (25k)
7,0.97138671875,0.966796875,0.96279296875,0.96494140625,0.96640625,0.96455078125,0.96640625,0.96845703125,,,0.96646728515625,vcl + coreset (25k)
8,0.970703125,0.96279296875,0.96171875,0.96259765625,0.9623046875,0.959375,0.9658203125,0.96884765625,0.96669921875,,0.9645399305555554,vcl + coreset (25k)
9,0.97021484375,0.9619140625,0.96123046875,0.9630859375,0.9638671875,0.958984375,0.9591796875,0.965625,0.9662109375,0.96240234375,0.963271484375,vcl + coreset (25k)
0,0.9728515625,,,,,,,,,,0.9728515625,vcl + coreset (10k)
1,0.97138671875,0.969140625,,,,,,,,,0.970263671875,vcl + coreset (10k)
2,0.96923828125,0.96630859375,0.97041015625,,,,,,,,0.96865234375,vcl + coreset (10k)
3,0.96435546875,0.96650390625,0.96650390625,0.9669921875,,,,,,,0.9660888671875001,vcl + coreset (10k)
4,0.96337890625,0.96318359375,0.96396484375,0.96552734375,0.96533203125,,,,,,0.9642773437500001,vcl + coreset (10k)
5,0.95830078125,0.95888671875,0.9623046875,0.96240234375,0.96474609375,0.9646484375,,,,,0.9618815104166667,vcl + coreset (10k)
6,0.95556640625,0.955859375,0.9572265625,0.96083984375,0.9619140625,0.9619140625,0.9642578125,,,,0.9596540178571428,vcl + coreset (10k)
7,0.95615234375,0.95751953125,0.958984375,0.95908203125,0.95966796875,0.96123046875,0.96123046875,0.9638671875,,,0.959716796875,vcl + coreset (10k)
8,0.9501953125,0.952734375,0.95498046875,0.9556640625,0.956640625,0.95908203125,0.95810546875,0.95986328125,0.9640625,,0.9568142361111112,vcl + coreset (10k)
9,0.94814453125,0.95166015625,0.95283203125,0.95166015625,0.955078125,0.954296875,0.95712890625,0.9587890625,0.960546875,0.963671875,0.9553808593750001,vcl + coreset (10k)
0,0.98173828125,,,,,,,,,,0.98173828125,vcl + coreset (5k)
1,0.9779296875,0.97119140625,,,,,,,,,0.974560546875,vcl + coreset (5k)
2,0.97744140625,0.9697265625,0.96943359375,,,,,,,,0.9722005208333334,vcl + coreset (5k)
3,0.97451171875,0.96298828125,0.9654296875,0.9703125,,,,,,,0.968310546875,vcl + coreset (5k)
4,0.9720703125,0.96103515625,0.96357421875,0.9654296875,0.968359375,,,,,,0.96609375,vcl + coreset (5k)
5,0.968359375,0.9607421875,0.95986328125,0.96064453125,0.9654296875,0.96591796875,,,,,0.9634928385416668,vcl + coreset (5k)
6,0.966796875,0.95849609375,0.95908203125,0.95947265625,0.9623046875,0.96025390625,0.96259765625,,,,0.9612862723214286,vcl + coreset (5k)
7,0.96123046875,0.95634765625,0.959375,0.9548828125,0.95927734375,0.959375,0.962890625,0.962890625,,,0.95953369140625,vcl + coreset (5k)
8,0.96025390625,0.95302734375,0.9568359375,0.95380859375,0.958203125,0.95830078125,0.96005859375,0.962109375,0.9630859375,,0.9584092881944445,vcl + coreset (5k)
