task,test/test_uncert,test/test_uncert_task_0,test/test_uncert_task_1,test/test_uncert_task_2,test/test_uncert_task_3,test/test_uncert_task_4,test/test_uncert_task_5,test/test_uncert_task_6,test/test_uncert_task_7,test/test_uncert_task_8,test/test_uncert_task_9,experiment
0.0,0.00009343260950522847,0.00009343260950522847,,,,,,,,,,vcl
1.0,0.17030705328070325,0.12890050723217428,0.21171359932923223,,,,,,,,,vcl
2.0,0.3105707083983968,0.41756942868232727,0.2648297294508666,0.24931296706199646,,,,,,,,vcl
3.0,0.527856744453311,0.5041059926152229,0.36618388295173643,0.8094771504402161,0.4316599518060684,,,,,,,vcl
4.0,0.751965901851654,0.45378438383340836,0.35133319050073625,1.0083811044692994,0.9497099816799164,0.99662084877491,,,,,,vcl
5.0,1.098996413871646,0.6290985643863678,0.47942151725292204,1.2250150680541991,2.6463946104049683,1.4021459221839905,0.21190280094742775,,,,,vcl
6.0,0.8953251570529703,0.758699357509613,0.3283441990613937,0.7816756926476955,2.8842010498046875,1.099873274564743,0.18700960208661854,0.2274729236960411,,,,vcl
7.0,0.7130658062378645,0.6042151898145676,0.42335055470466615,0.48269054607953876,1.6895245909690857,1.3558008968830109,0.33460821211338043,0.3876194581389427,0.4267170011997237,,,vcl
8.0,0.7365627403525062,0.8458656817674637,0.3523039221763611,0.4833381071686745,1.404878705739975,2.1799831688404083,0.34294336289167404,0.48858101665973663,0.5310934007186916,0.00007729720957172503,,vcl
9.0,1.0757208476932647,0.7985519468784332,0.3482852578163147,0.45682355761528015,1.2633626759052277,5.971074342727661,0.42240721732378006,0.3687383756041527,1.091493159532547,0.0003138633164780913,0.03615808021277189,vcl
0.0,0.0,0.0,,,,,,,,,,si
1.0,0.08008903697251779,5.66481556107945e-9,0.16017806828022002,,,,,,,,,si
2.0,0.07542240005091146,1.5984051970896473e-8,0.1262692116200924,0.09999797254859004,,,,,,,,si
3.0,0.2003424711144202,3.025264017075813e-8,0.11915353997865168,0.4395275726914406,0.24268874153494835,,,,,,,si
4.0,0.5064288348567005,8.151507202569519e-8,0.19363146051764488,0.9756724119186402,0.7455970942974091,0.6172431260347366,,,,,,si
5.0,0.4523496770029956,1.008864902729556e-7,0.1652418957091868,0.7962057262659072,0.6854050904512405,0.836556151509285,0.23068909719586372,,,,,si
6.0,0.4804162908569004,5.529077662380644e-8,0.1724027819931507,0.83486208319664,0.9738446027040482,1.026387482881546,0.19772005081176758,0.15769697912037373,,,,si
7.0,0.5097758210938081,2.1866435162554154e-8,0.14361017616465688,0.9168840646743774,0.7904979735612869,1.556345671415329,0.1493514096364379,0.27446987852454185,0.24704737290740014,,,si
8.0,0.5260089978707427,5.16738928979521e-7,0.16462256461381913,0.9715420961380005,1.077892854809761,1.911769449710846,0.17172380909323692,0.1647017728537321,0.2717906534682243,0.00003726341013532419,,si
9.0,0.5835374686692083,7.512784954144536e-7,0.13522677328437566,0.9539664149284363,1.01727993786335,2.2821341156959534,0.25111809000372887,0.16895916126668453,0.9786389410495758,3.285643686012918e-6,0.048047215677797794,si
