task,test/test_uncert,test/test_uncert_task_0,test/test_uncert_task_1,test/test_uncert_task_2,test/test_uncert_task_3,test/test_uncert_task_4,test/test_uncert_task_5,test/test_uncert_task_6,test/test_uncert_task_7,test/test_uncert_task_8,test/test_uncert_task_9,experiment
0.0,0.3360420912504196,0.3360420912504196,,,,,,,,,,vcl
1.0,0.6140169948339462,0.8106648325920105,0.41736915707588196,,,,,,,,,vcl
2.0,1.492000420888265,0.9405393898487091,2.922747492790222,0.6127143800258636,,,,,,,,vcl
3.0,2.8225046806037426,0.7282501757144928,7.614485025405884,2.6222864389419556,0.32499708235263824,,,,,,,vcl
4.0,2.3390194714069366,0.8964442014694214,3.2050861120224,3.626651883125305,3.6982256174087524,0.2686895430088043,,,,,,vcl
5.0,3.2277287965019545,0.8372046649456024,4.999209642410278,5.806544303894043,6.700757026672363,0.47118304669857025,0.5514740943908691,,,,,vcl
6.0,2.443480666194643,0.9303361177444458,2.306736707687378,6.866305589675903,4.948100805282593,0.627831220626831,1.1896604299545288,0.23539379239082336,,,,vcl
7.0,1.9130806243047118,0.8232876658439636,1.9435296058654785,2.285863161087036,5.372260332107544,0.29123448580503464,3.4065935611724854,0.5451400279998779,0.6367361545562744,,,vcl
8.0,2.0937933603094683,1.0677147209644318,4.2214930057525635,2.167884349822998,4.879107236862183,1.1006817817687988,3.39624285697937,0.8659727871417999,1.0634043216705322,0.08163918182253838,,vcl
9.0,1.8743027493357658,1.0147091448307037,3.4796133041381836,3.666186571121216,3.702769637107849,1.3384970426559448,3.1160041093826294,0.7381652593612671,1.0909345149993896,0.29064512252807617,0.305502787232399,vcl
0.0,0.22029364109039307,0.22029364109039307,,,,,,,,,,si
1.0,0.6549206003546715,0.9425831437110901,0.36725805699825287,,,,,,,,,si
2.0,1.453215663631757,0.905146062374115,3.086209774017334,0.3682911545038223,,,,,,,,si
3.0,2.016510121524334,0.9129922688007355,6.155296802520752,0.6689143776893616,0.3288370370864868,,,,,,,si
4.0,1.1986515909433364,0.9200588166713715,3.4468735456466675,0.7370969653129578,0.5711341798305511,0.3180944472551346,,,,,,si
5.0,1.0910777859389782,1.1626243591308594,3.1902514696121216,0.7452623844146729,0.6634981334209442,0.3763279840350151,0.40850238502025604,,,,,si
6.0,0.9383759817906788,1.1080816984176636,2.7320395708084106,0.8866759836673737,0.6494077444076538,0.5277819633483887,0.4306902140378952,0.23395469784736633,,,,si
7.0,0.8418967165052891,1.0323821902275085,2.199290633201599,0.7629654109477997,0.8096379637718201,0.5418810546398163,0.6639861464500427,0.2942855507135391,0.4307447820901871,,,si
8.0,0.8050947054806683,0.9785255491733551,2.0938053131103516,0.8732174336910248,0.7541168630123138,0.6465530097484589,0.9396325945854187,0.2576296925544739,0.6805958449840546,0.021776048466563225,,si
9.0,0.7842297039926052,1.0124068558216095,2.330269694328308,0.932201087474823,0.6583107113838196,0.7009486854076385,0.7480826079845428,0.3242059051990509,0.6893555223941803,0.22419272363185883,0.2223232463002205,si
0.0,0.2441246509552002,0.2441246509552002,,,,,,,,,,baseline
1.0,8.28959073126316,16.051419734954834,0.5277617275714874,,,,,,,,,baseline
2.0,12.117956630885601,18.42068099975586,17.68922996520996,0.24395892769098282,,,,,,,,baseline
3.0,12.210136473178864,18.35341453552246,16.742268562316895,13.323760032653809,0.42110276222229004,,,,,,,baseline
4.0,7.407750363647938,16.765814781188965,9.31652545928955,6.0153374671936035,4.736570119857788,0.20450399070978165,,,,,,baseline
5.0,10.81317955503861,17.812949180603027,13.307448387145996,14.23725414276123,9.046250343322754,10.226170539855957,0.24900473654270172,,,,,baseline
6.0,10.292757273784705,18.115023612976074,17.4240779876709,13.483505725860596,13.943803787231445,5.855470180511475,2.909245491027832,0.3181741312146187,,,,baseline
7.0,11.513655588030815,13.746585845947266,15.543490409851074,16.4321346282959,16.032258987426758,13.325780391693115,13.255263805389404,3.359821915626526,0.4139087200164795,,,baseline
8.0,7.9548559462289425,10.578927040100098,10.671508312225342,11.640355110168457,12.041093349456787,9.071313381195068,7.530925512313843,4.855705738067627,5.1891984939575195,0.014676578575745225,,baseline
9.0,11.566966070234775,14.068033218383789,14.600087642669678,17.13071346282959,12.802794456481934,14.964033126831055,12.80276107788086,14.738566398620605,10.576385498046875,3.770421862602234,0.21586395800113678,baseline
0.0,0.2754073888063431,0.2754073888063431,,,,,,,,,,arch2 baseline
1.0,0.3484188485890627,0.18340784683823586,0.5134298503398895,,,,,,,,,arch2 baseline
2.0,0.1956181861460209,0.0575668066740036,0.1260882131755352,0.40319953858852386,,,,,,,,arch2 baseline
3.0,0.35526296379975975,0.03461760561913252,0.2076323851943016,0.8169754147529602,0.36182644963264465,,,,,,,arch2 baseline
4.0,0.3278290294460021,0.0005523377913050354,0.2873912900686264,0.681805431842804,0.48899008333683014,0.18040600419044495,,,,,,arch2 baseline
5.0,0.33877590044236666,0.00010925588139798492,0.09300278406590223,0.8977757096290588,0.6330436766147614,0.1325511671602726,0.27617280930280685,,,,,arch2 baseline
6.0,0.35235226723099394,0.012668795650824904,0.04941231291741133,0.8843563199043274,0.652442067861557,0.2541752979159355,0.4092682749032974,0.20414280146360397,,,,arch2 baseline
7.0,0.5299582036968786,0.03446953743696213,0.017718522110953927,1.2965328693389893,0.7448232471942902,0.14197824522852898,0.7322985529899597,0.7440144419670105,0.5278302133083344,,,arch2 baseline
8.0,0.4604118305982815,0.023529869504272938,0.05896530859172344,1.0067198872566223,0.7910044193267822,0.29307977855205536,0.6075081378221512,0.8462084531784058,0.4980679899454117,0.018622631207108498,,arch2 baseline
9.0,0.5394618670456112,0.025700275786221027,0.04176010377705097,1.104921042919159,0.6298300623893738,0.3526562452316284,1.3365959525108337,0.9124111235141754,0.716713011264801,0.027615290135145187,0.24641556292772293,arch2 baseline
