task,test/test_acc,test/test_acc_task_0,test/test_acc_task_1,test/test_acc_task_2,test/test_acc_task_3,test/test_acc_task_4,test/test_acc_task_5,test/test_acc_task_6,test/test_acc_task_7,test/test_acc_task_8,test/test_acc_task_9,experiment
0.0,0.80771484375,0.80771484375,,,,,,,,,,vcl regression heteroscedastic
1.0,0.62080078125,0.745703125,0.4958984375,,,,,,,,,vcl regression heteroscedastic
2.0,0.621875,0.75009765625,0.5400390625,0.57548828125,,,,,,,,vcl regression heteroscedastic
3.0,0.66328125,0.7427734375,0.60673828125,0.60947265625,0.694140625,,,,,,,vcl regression heteroscedastic
4.0,0.591171875,0.694921875,0.49638671875,0.55498046875,0.60810546875,0.60146484375,,,,,,vcl regression heteroscedastic
5.0,0.5716634114583333,0.72880859375,0.471484375,0.5298828125,0.54443359375,0.51455078125,0.6408203125,,,,,vcl regression heteroscedastic
6.0,0.5544642857142857,0.6865234375,0.45732421875,0.52119140625,0.541015625,0.51630859375,0.61259765625,0.5462890625,,,,vcl regression heteroscedastic
7.0,0.55994873046875,0.67353515625,0.4771484375,0.52412109375,0.548828125,0.5263671875,0.6021484375,0.52255859375,0.6048828125,,,vcl regression heteroscedastic
8.0,0.5274197048611111,0.63544921875,0.41357421875,0.54111328125,0.5546875,0.53095703125,0.60283203125,0.5390625,0.571875,0.3572265625,,vcl regression heteroscedastic
9.0,0.48991210937499996,0.62333984375,0.395703125,0.50595703125,0.51748046875,0.4951171875,0.5705078125,0.52626953125,0.54306640625,0.36455078125,0.35712890625,vcl regression heteroscedastic
