task,test/test_rmse,test/test_rmse_task_0,test/test_rmse_task_1,test/test_rmse_task_2,test/test_rmse_task_3,test/test_rmse_task_4,test/test_rmse_task_5,test/test_rmse_task_6,test/test_rmse_task_7,test/test_rmse_task_8,test/test_rmse_task_9,experiment
0.0,0.1932842880487442,0.1932842880487442,,,,,,,,,,vcl regression heteroscedastic
1.0,0.22706496715545654,0.2020823061466217,0.2520476281642914,,,,,,,,,vcl regression heteroscedastic
2.0,0.2412574738264084,0.22037187218666077,0.2538023293018341,0.2495981901884079,,,,,,,,vcl regression heteroscedastic
3.0,0.24340619146823883,0.2219637930393219,0.2560574412345886,0.25076672434806824,0.24483680725097656,,,,,,,vcl regression heteroscedastic
4.0,0.25091496109962463,0.22528687119483948,0.2661899924278259,0.2553520202636719,0.26093289256095886,0.24681293964385986,,,,,,vcl regression heteroscedastic
5.0,0.2489723116159439,0.22815242409706116,0.27297243475914,0.25715380907058716,0.2515188157558441,0.25047311186790466,0.23356325924396515,,,,,vcl regression heteroscedastic
6.0,0.25385233759880066,0.23086777329444885,0.2771739065647125,0.2590693533420563,0.2593502700328827,0.2557830810546875,0.23833461105823517,0.25638729333877563,,,,vcl regression heteroscedastic
7.0,0.25594189763069153,0.23093721270561218,0.2769966721534729,0.26421552896499634,0.25851768255233765,0.2645140290260315,0.2446509301662445,0.25756192207336426,0.25014129281044006,,,vcl regression heteroscedastic
8.0,0.2658928334712982,0.2369718998670578,0.2841090261936188,0.2664016783237457,0.2608206868171692,0.27039363980293274,0.25083810091018677,0.2596789002418518,0.2654760777950287,0.2983452081680298,,vcl regression heteroscedastic
9.0,0.26929235458374023,0.243977352976799,0.2819942831993103,0.26696160435676575,0.26129236817359924,0.26989302039146423,0.25809282064437866,0.262931764125824,0.26264962553977966,0.29887327551841736,0.2862575054168701,vcl regression heteroscedastic
