task,test/test_rmse,test/test_rmse_task_0,test/test_rmse_task_1,test/test_rmse_task_2,test/test_rmse_task_3,test/test_rmse_task_4,test/test_rmse_task_5,test/test_rmse_task_6,test/test_rmse_task_7,test/test_rmse_task_8,test/test_rmse_task_9,experiment
0.0,0.07779104262590408,0.07779104262590408,,,,,,,,,,vcl regression homoscedastic
1.0,0.10787957906723022,0.08192171901464462,0.13383743166923523,,,,,,,,,vcl regression homoscedastic
2.0,0.11917469650506973,0.08468039333820343,0.13854604959487915,0.13429763913154602,,,,,,,,vcl regression homoscedastic
3.0,0.12476164102554321,0.08796936273574829,0.14072342216968536,0.13741591572761536,0.13293786346912384,,,,,,,vcl regression homoscedastic
4.0,0.12917684018611908,0.09143031388521194,0.1440047323703766,0.1393592655658722,0.13968129456043243,0.13140861690044403,,,,,,vcl regression homoscedastic
5.0,0.13473258912563324,0.09552761167287827,0.1507858783006668,0.14059388637542725,0.1444222331047058,0.14002981781959534,0.1370360553264618,,,,,vcl regression homoscedastic
6.0,0.13702628016471863,0.09731853008270264,0.1536542922258377,0.1449318826198578,0.14474408328533173,0.14334537088871002,0.1421646773815155,0.13302524387836456,,,,vcl regression homoscedastic
7.0,0.13792677223682404,0.09954814612865448,0.15633870661258698,0.14423027634620667,0.14703385531902313,0.14372842013835907,0.1432361900806427,0.13497969508171082,0.13431890308856964,,,vcl regression homoscedastic
8.0,0.1395292729139328,0.10168030112981796,0.15913152694702148,0.14481067657470703,0.14869670569896698,0.14496298134326935,0.1463862508535385,0.13663457334041595,0.1360958069562912,0.13736452162265778,,vcl regression homoscedastic
9.0,0.14211587607860565,0.1058611124753952,0.1617213785648346,0.14719811081886292,0.15509025752544403,0.14855441451072693,0.14893478155136108,0.14035385847091675,0.1359020173549652,0.13866043090820312,0.13888242840766907,vcl regression homoscedastic
