task,test/test_acc,experiment,experiment_group
0.0,0.97744140625,si,pmnist
1.0,0.963818359375,si,pmnist
2.0,0.9436197916666668,si,pmnist
3.0,0.9298828124999999,si,pmnist
4.0,0.91001953125,si,pmnist
5.0,0.8959147135416666,si,pmnist
6.0,0.8864536830357144,si,pmnist
7.0,0.87667236328125,si,pmnist
8.0,0.8698784722222221,si,pmnist
9.0,0.8628515625000001,si,pmnist
0.0,0.9833984375,vcl,pmnist
1.0,0.975634765625,vcl,pmnist
2.0,0.96982421875,vcl,pmnist
3.0,0.960498046875,vcl,pmnist
4.0,0.956015625,vcl,pmnist
5.0,0.9520833333333334,vcl,pmnist
6.0,0.9488560267857142,vcl,pmnist
7.0,0.946923828125,vcl,pmnist
8.0,0.9444661458333332,vcl,pmnist
9.0,0.9400292968749999,vcl,pmnist
0.0,0.978515625,vcl + coreset (25k),pmnist
1.0,0.977099609375,vcl + coreset (25k),pmnist
2.0,0.9732747395833332,vcl + coreset (25k),pmnist
3.0,0.97216796875,vcl + coreset (25k),pmnist
4.0,0.9693164062499999,vcl + coreset (25k),pmnist
5.0,0.9687011718749999,vcl + coreset (25k),pmnist
6.0,0.9665736607142856,vcl + coreset (25k),pmnist
7.0,0.96646728515625,vcl + coreset (25k),pmnist
8.0,0.9645399305555554,vcl + coreset (25k),pmnist
9.0,0.963271484375,vcl + coreset (25k),pmnist
0.0,0.9995659722222222,si,smnist
1.0,0.9983122824794717,si,smnist
2.0,0.9952941258196478,si,smnist
3.0,0.9967118050489161,si,smnist
4.0,0.9952565636899736,si,smnist
0.0,0.9995272159576416,vcl,smnist
1.0,0.9919281601905823,vcl,smnist
2.0,0.9904140035311381,vcl,smnist
3.0,0.9918211698532104,vcl,smnist
4.0,0.988126528263092,vcl,smnist
0.0,0.9697408477465311,si,nmnist
1.0,0.9665311574935913,si,nmnist
2.0,0.966177072789934,si,nmnist
3.0,0.9628386348485947,si,nmnist
4.0,0.9460870295763015,si,nmnist
0.0,0.9697802066802979,vcl,nmnist
1.0,0.9746998846530914,vcl,nmnist
2.0,0.9696405132611593,vcl,nmnist
3.0,0.9653523713350296,vcl,nmnist
4.0,0.9652020812034607,vcl,nmnist
